UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22203690,536856.0,102406.0,50.8050495,-0.0590891
22203742,530787.0,104106.0,50.821729,-0.1445653
22203898,529410.0,104694.0,50.8273229,-0.1638963
22203975,533766.0,103238.0,50.813248,-0.1026133
22203976,533770.0,103261.0,50.8134538,-0.1025481
22203978,533773.0,103225.0,50.8131296,-0.1025187
22203979,533766.0,103238.0,50.813248,-0.1026133
22203984,533767.0,103253.0,50.8133826,-0.1025936
22203985,533805.0,103226.0,50.8131312,-0.1020644
22203986,533816.0,103284.0,50.8136499,-0.1018872
22203987,533849.0,103256.0,50.8133906,-0.1014292
22203988,533794.0,103201.0,50.812909,-0.1022295
22203990,533775.0,103256.0,50.8134077,-0.102479
22204668,531119.0,104180.0,50.8223191,-0.1398281
22204810,529726.0,104593.0,50.8263445,-0.1594477
22205016,529704.0,104578.0,50.8262146,-0.1597652
22205292,536937.0,102389.0,50.8048776,-0.0579466
22205753,532147.0,104834.0,50.8279637,-0.1250062
22205887,531187.0,104129.0,50.8218453,-0.1388814
22205945,531100.0,104133.0,50.8219009,-0.1401144
22206049,530868.0,104146.0,50.8220702,-0.1434017
22206079,531115.0,104486.0,50.8250703,-0.1397755
22206089,529677.0,104424.0,50.8248365,-0.1602028
22206333,530967.0,104653.0,50.8266047,-0.141816
22206419,531423.0,104449.0,50.824668,-0.1354182
22206424,533854.0,103203.0,50.8129131,-0.1013776
22206425,533855.0,103282.0,50.8136229,-0.1013346
22206467,533809.0,103250.0,50.8133459,-0.1019989
22206500,533790.0,103225.0,50.8131256,-0.1022775
22206501,533772.0,103249.0,50.8133455,-0.1025241
22206691,530154.0,108936.0,50.8652826,-0.1518323
22206980,532313.0,106177.0,50.8399963,-0.1221663
22207147,530892.0,104294.0,50.823395,-0.1430083
22207149,530583.0,105212.0,50.8317156,-0.1470662
22207209,531558.0,105321.0,50.8324748,-0.13319
22207541,531178.0,103988.0,50.8205801,-0.1390595
22207542,531178.0,103988.0,50.8205801,-0.1390595
22207543,531178.0,103988.0,50.8205801,-0.1390595
22207574,526213.0,104862.0,50.8295378,-0.2092077
22207651,528759.0,104985.0,50.8300834,-0.1730325
22207652,528769.44,105033.68,50.8305186,-0.1728672
22207653,528770.76,105040.13,50.8305763,-0.1728462
22207771,531150.0,104052.0,50.8211616,-0.1394339
22207779,530536.0,104152.9,50.8222071,-0.14811
22207808,530998.0,104802.0,50.8279369,-0.1413229
22207837,529974.0,104495.0,50.8254081,-0.1559632
22207982,532963.0,103625.0,50.8169109,-0.1138646
22208194,531396.0,104736.0,50.8272536,-0.1356986
22208412,529811.0,104531.0,50.8257682,-0.1582635
22208413,531133.0,104033.0,50.8209947,-0.1396819
22208787,530998.0,104802.0,50.8279369,-0.1413229
22208788,530998.0,104802.0,50.8279369,-0.1413229
22209413,531101.0,104439.0,50.824651,-0.1399909
22209414,531107.0,104454.0,50.8247845,-0.1399004
22209544,528563.0,105186.0,50.8319335,-0.1757437
22209743,531341.0,105216.0,50.8315803,-0.1363073
22209772,532337.0,103860.0,50.8191663,-0.1226611
22209774,531033.0,104107.0,50.8216824,-0.1410744
22210035,531241.0,104675.0,50.8267405,-0.1379199
22210042,531211.0,104629.0,50.8263338,-0.1383621
